,name,album,artists,year,release_date
,Testify,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Guerrilla Radio,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Calm Like a Bomb,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Mic Check,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Sleep Now In the Fire,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Born of a Broken Man,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Born As Ghosts,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Maria,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Voice of the Voiceless,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,New Millennium Homes,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Ashes In the Fall,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,War Within a Breath,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Bombtrack,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Killing In the Name,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Take the Power Back,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Settle for Nothing,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Bullet In the Head,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Know Your Enemy,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Wake Up,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Fistful of Steel,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Township Rebellion,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Freedom,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Man on a Mission,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Do It for Love,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Someday Well Know,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Forever for You,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Lifes Too Short,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Getaway Car,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Make You Stay,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Miss DJ,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,She Got Me Bad,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Breath of Your Life,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Intuition,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Heartbreak Time,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Something About You,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Love in a Dangerous Time,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Love The One Youre With,Fridays Child,Will Young,2003,2003-12-01
,Your Game,Fridays Child,Will Young,2003,2003-12-01
,Stronger,Fridays Child,Will Young,2003,2003-12-01
,Leave Right Now,Fridays Child,Will Young,2003,2003-12-01
,Love Is A Matter Of Distance,Fridays Child,Will Young,2003,2003-12-01
,Dance The Night Away,Fridays Child,Will Young,2003,2003-12-01
,Very Kind,Fridays Child,Will Young,2003,2003-12-01
,Free,Fridays Child,Will Young,2003,2003-12-01
,Going My Way,Fridays Child,Will Young,2003,2003-12-01
,Out Of My Mind,Fridays Child,Will Young,2003,2003-12-01
,Fridays Child,Fridays Child,Will Young,2003,2003-12-01
,Listen For The Laugh,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,All The Ways I Want You,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Bone In My Ear,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Burden Of The Angel Beast,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Scanning These Crowds,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Southland Of The Heart,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Train In The Rain,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Someone I Used To Love,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Love Loves You Too,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Sunrise On The Mississippi,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Closer to the Light,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Tie Me At The Crossroads,Dart To The Heart,Bruce Cockburn,1994,1994-03-01
,Amber Waves,Scarlets Walk,Tori Amos,2002,2002-10-28
,A Sorta Fairytale,Scarlets Walk,Tori Amos,2002,2002-10-28
,Wednesday,Scarlets Walk,Tori Amos,2002,2002-10-28
,strange,Scarlets Walk,Tori Amos,2002,2002-10-28
,Carbon,Scarlets Walk,Tori Amos,2002,2002-10-28
,Crazy,Scarlets Walk,Tori Amos,2002,2002-10-28
,wampum prayer,Scarlets Walk,Tori Amos,2002,2002-10-28
,dont make me come to Vegas,Scarlets Walk,Tori Amos,2002,2002-10-28
,Sweet Sangria,Scarlets Walk,Tori Amos,2002,2002-10-28
,Your Cloud,Scarlets Walk,Tori Amos,2002,2002-10-28
,Pancake,Scarlets Walk,Tori Amos,2002,2002-10-28
,I Cant See New York,Scarlets Walk,Tori Amos,2002,2002-10-28
,mrs. jesus,Scarlets Walk,Tori Amos,2002,2002-10-28
,Taxi Ride,Scarlets Walk,Tori Amos,2002,2002-10-28
,Another Girls Paradise,Scarlets Walk,Tori Amos,2002,2002-10-28
,Scarlets Walk,Scarlets Walk,Tori Amos,2002,2002-10-28
,Virginia,Scarlets Walk,Tori Amos,2002,2002-10-28
,Gold Dust,Scarlets Walk,Tori Amos,2002,2002-10-28
,Rosaryville,Rosaryville,Kate Campbell,1999,1999-07-20
,Porcelain Blue,Rosaryville,Kate Campbell,1999,1999-07-20
,Rosas Coronas,Rosaryville,Kate Campbell,1999,1999-07-20
,In My Mothers House,Rosaryville,Kate Campbell,1999,1999-07-20
,Heart of Hearts,Rosaryville,Kate Campbell,1999,1999-07-20
,Fade to Blue,Rosaryville,Kate Campbell,1999,1999-07-20
,Who Will Pray For Junior,Rosaryville,Kate Campbell,1999,1999-07-20
,Rosemary,Rosaryville,Kate Campbell,1999,1999-07-20
,Look Away,Rosaryville,Kate Campbell,1999,1999-07-20
,Ave Maria Grotto,Rosaryville,Kate Campbell,1999,1999-07-20
,Hollywood,New Life Faded,Death & Desire,2011,2011-02-08
,Tired of Waiting,New Life Faded,Death & Desire,2011,2011-02-08
,America,New Life Faded,Death & Desire,2011,2011-02-08
,Desperate,New Life Faded,Death & Desire,2011,2011-02-08
,All I See,New Life Faded,Death & Desire,2011,2011-02-08
,Give,New Life Faded,Death & Desire,2011,2011-02-08
,Pain,New Life Faded,Death & Desire,2011,2011-02-08
,Check,Waste Of Mind,zebrahead,1998,1998-10-01
,Get Back,Waste Of Mind,zebrahead,1998,1998-10-01
,The Real Me,Waste Of Mind,zebrahead,1998,1998-10-01
,Someday,Waste Of Mind,zebrahead,1998,1998-10-01
,Waste of Mind,Waste Of Mind,zebrahead,1998,1998-10-01
,Feel This Way,Waste Of Mind,zebrahead,1998,1998-10-01